transaction_id,amount,hour_of_day,customer_id,customer_age,account_balance,transaction_type,distance_from_home,merchant_category,device_type,is_foreign,device_new,velocity_24h,is_fraud
1,163.37643961278084,10,12791,38,6998.700123595701,online,16.010599220472447,travel,atm,0,0,2,0
2,76.25498867509864,18,3585,53,6104.711505304902,in_store,24.618249237118523,fuel,mobile,0,0,3,0
3,195.82594827849982,8,19094,72,6781.952609701633,online,12.177223909083088,online_retail,mobile,0,0,1,0
4,559.8314899761705,20,5062,19,6608.084045856268,online,23.119854250698282,travel,mobile,0,0,3,0
5,67.96656889122907,4,12879,37,0.0,online,9.19584042529034,online_retail,desktop,0,0,2,0
6,67.96790793615334,20,1444,68,9379.206631022444,online,1.6464580760898433,entertainment,atm,0,1,1,0
7,598.8764872513656,16,11261,60,3800.258385895438,online,20.261818069885816,travel,mobile,0,0,2,0
8,226.08740560845604,0,2893,65,8441.860178354169,online,11.409709818137625,fuel,atm,0,0,3,0
9,51.24565002616939,9,5812,36,2603.86295232157,in_store,13.432864489791685,online_retail,mobile,0,0,1,0
10,172.61644501602697,14,19468,46,10270.71850962345,online,0.3917034769542199,fuel,mobile,0,0,3,0
11,51.619461829956286,17,7416,68,4136.25582974251,online,14.569278858773771,fuel,mobile,0,0,2,0
12,51.47644352346477,18,17368,77,5098.5913253593835,online,3.207216863547926,entertainment,desktop,0,0,1,0
13,120.34405024167108,22,1938,64,5958.444343394378,in_store,5.828501716742667,grocery,mobile,0,0,4,0
14,9.061763123917503,13,3513,41,5649.020408690873,in_store,3.944225837368571,grocery,desktop,0,0,2,0
15,11.360002132173996,0,14720,39,9075.852546367203,atm,42.02997120299848,online_retail,desktop,0,0,1,0
16,45.844487612047544,10,7842,33,3985.3426633539766,in_store,7.366803322486247,online_retail,mobile,0,0,2,0
17,26.698373757666975,4,12153,22,3597.0097207809094,in_store,30.652544680351312,travel,desktop,0,0,2,0
18,131.24906781890098,21,9447,45,8477.15833546885,online,3.054685324320606,online_retail,desktop,0,0,3,0
19,30.276478059623052,7,8497,30,6259.8068179647635,online,12.320193582706828,entertainment,desktop,0,0,6,0
20,16.530969456142135,11,8146,36,4288.691477629005,online,14.985794543396615,fuel,mobile,0,0,2,0
21,522.5802302170252,7,15147,54,3652.3088241111063,in_store,5.729603972778175,travel,desktop,0,0,4,0
22,68.65324771624906,15,11553,25,4747.472922168525,in_store,26.26296850830144,travel,atm,0,0,1,0
23,97.61526116837828,8,16867,37,4567.615437207305,online,11.083310041315396,travel,desktop,0,0,2,0
24,16.285940287472755,19,7301,29,6242.826176462927,online,29.840528900833654,travel,desktop,0,0,2,0
25,46.840149506036575,14,11158,23,2919.3626213835355,online,1.9930814966900823,online_retail,mobile,0,0,1,0
26,102.83308169785296,14,4269,47,6346.934494658825,atm,34.3898542949458,online_retail,desktop,1,0,2,0
27,22.619394615588202,23,6201,79,3488.555811703713,in_store,1.6574691372939132,travel,mobile,0,0,1,0
28,141.29326471795602,11,4418,56,4508.665285576807,in_store,13.749540847835263,entertainment,desktop,0,0,5,0
29,43.782472764349166,12,1995,61,2591.978033545556,online,2.710622620286128,entertainment,atm,0,1,3,0
30,63.43193874234979,16,10017,21,6428.281729520724,in_store,15.721651742791828,online_retail,mobile,0,1,1,0
31,43.72640116471668,11,18334,67,3929.70648165163,in_store,3.453957897993357,online_retail,desktop,0,0,2,0
32,831.0864505639342,20,9,26,2718.067969657194,online,2.286569689928112,travel,mobile,0,1,2,0
33,88.57089726230873,15,5987,50,1888.1980765684543,in_store,18.089482961944732,travel,mobile,0,0,3,0
34,25.298545026680483,0,13025,55,9655.375005680828,online,0.459634162004508,travel,desktop,0,0,2,0
35,241.54454188274735,11,4627,64,4153.619690778984,online,6.669394860748856,online_retail,desktop,0,0,1,0
36,20.800720385686628,14,7898,47,4640.194410333711,online,0.3784372787571466,grocery,desktop,0,0,1,0
37,115.65785583101504,20,6092,36,11353.214233503302,online,36.74521166130802,entertainment,desktop,0,0,5,0
38,8.571098047894113,19,7448,71,0.0,in_store,0.5587449755200186,entertainment,atm,0,0,1,0
39,18.28674977025623,18,3522,74,3969.637504788161,in_store,20.181368904746773,travel,desktop,0,0,2,0
40,114.00399401988774,20,15688,44,2578.5711083105225,in_store,39.33980914217141,entertainment,atm,0,0,10,0
41,218.36323591848964,9,8245,20,0.0,atm,0.560882928369324,entertainment,mobile,0,0,0,0
42,110.56924070444703,13,9762,23,3095.5658893193167,online,4.137068995440063,fuel,mobile,0,0,2,0
43,78.35282788525079,15,3690,69,6154.608213855714,online,7.4950787641841465,travel,mobile,0,0,1,0
44,62.71969827052975,23,15946,63,4754.219865489541,online,15.922082415168894,entertainment,mobile,0,0,4,0
45,15.26822103149065,23,2775,46,6181.716500767056,atm,7.154045371041025,entertainment,atm,0,0,1,0
46,37.94686720822866,14,633,26,0.0,in_store,0.9165101968335637,online_retail,mobile,0,0,2,0
47,51.79188490092077,7,19570,27,1524.2401547683196,in_store,6.954873093094456,entertainment,mobile,0,1,4,0
48,320.07222436339066,21,1369,43,6890.345685502747,in_store,10.896167622329342,travel,desktop,0,0,2,0
49,135.9574470560391,1,17581,78,2199.139903454999,in_store,15.705809430046457,online_retail,desktop,0,0,4,0
50,10.85202624850245,13,1586,69,0.0,in_store,39.294944761719506,travel,desktop,0,0,1,0
51,132.8075068956989,14,19627,68,1629.884553812392,in_store,37.91525537936795,fuel,desktop,0,0,3,0
52,56.707204349529256,7,19812,22,3641.2281825017985,online,22.726191472251436,travel,mobile,0,0,2,0
53,39.95259393465943,12,10902,59,5118.884581152305,in_store,52.76047976527107,online_retail,desktop,0,0,3,0
54,187.543636551675,18,5442,61,8390.838309315432,online,4.906555222541476,online_retail,mobile,0,0,0,0
55,310.1944711228611,18,1926,48,7001.0355404846105,online,5.404841489480896,fuel,mobile,0,0,3,0
56,275.21046794852754,19,4465,56,0.0,online,45.51902574897176,entertainment,mobile,0,0,2,0
57,32.882446426955156,16,17615,68,5652.357457977785,online,31.931653009398854,fuel,desktop,0,0,0,0
58,62.11236907010004,10,19447,26,2482.949425242965,in_store,17.43674458918785,entertainment,atm,0,0,0,0
59,133.95663359511772,0,2918,69,5577.107143619134,online,2.0307805599143363,fuel,desktop,0,0,4,0
60,290.2243232897537,16,694,49,2647.60450196324,online,23.32142922560832,online_retail,mobile,0,0,2,0
61,50.652617856727026,16,9969,56,5879.451333818706,online,23.539706407882623,grocery,desktop,0,0,1,0
62,72.03911446783829,17,9851,59,3964.1018108333715,online,18.007566904185857,fuel,mobile,0,0,1,0
63,23.86464395439452,22,10556,37,2661.122655155109,online,1.8682494302631691,entertainment,desktop,0,0,2,0
64,21.424862593760224,9,16242,78,6687.150230008908,online,46.80333836791584,online_retail,mobile,0,1,3,0
65,238.65786207695436,18,1601,32,7098.898263963859,online,5.920479182829547,travel,mobile,0,0,2,0
66,458.2835210977191,8,3073,41,5989.474697668335,online,38.89412569277817,online_retail,atm,0,0,3,0
67,82.56516448521953,20,11675,32,0.0,in_store,9.659537890433075,online_retail,atm,0,1,1,0
68,300.137132176777,1,16343,45,2145.142845229051,online,1.8998451877008071,travel,mobile,0,0,5,1
69,138.92903039651907,10,11695,19,4623.65115165535,in_store,20.078635737772974,fuel,desktop,0,0,1,0
70,41.50675954078265,9,19644,56,7435.216756032339,in_store,19.109053633632627,travel,mobile,0,0,5,0
71,138.88895467362238,21,10952,48,3858.946806538357,in_store,19.45437814188822,online_retail,mobile,0,0,1,0
72,570.0042858065357,15,15483,24,1491.424312573386,in_store,20.205277836750263,travel,mobile,0,0,3,0
73,86.22919014059586,13,440,61,10907.126846864237,in_store,37.11853710947687,fuel,desktop,0,0,1,0
74,588.49732837877,9,3781,62,4930.181875603654,atm,10.793264462639756,entertainment,atm,0,0,5,0
75,3.88182682918376,11,9098,72,6022.523489431731,online,11.531680614249355,travel,mobile,0,0,1,0
76,241.3584095392547,18,17370,31,6363.06002940818,atm,22.74294913586347,grocery,mobile,0,0,3,0
77,99.92865505239077,21,8914,19,3057.493821074325,online,1.4997978472538875,fuel,mobile,0,0,1,0
78,62.877675452370035,4,16985,38,3425.266802189273,online,8.665274206957468,online_retail,desktop,0,0,4,0
79,100.4954981373517,0,16166,41,2596.16992525051,atm,2.120393621327341,travel,mobile,0,0,1,0
80,8.28890026627062,15,6462,19,3151.8688060796308,online,1.1546579945365383,fuel,desktop,0,0,3,0
81,69.1579994915513,21,12287,42,9296.495924150258,online,3.5057218945066584,fuel,mobile,0,0,0,0
82,138.17694663620685,1,9547,20,1626.5597464177656,in_store,20.59977374264725,entertainment,desktop,0,0,4,0
83,530.3158930887867,16,2714,68,5341.319058964067,online,19.034524565218806,online_retail,mobile,0,0,1,0
84,48.33112379259838,20,712,60,4058.0289133275787,atm,42.52374317561896,entertainment,mobile,0,0,1,0
85,34.117405405883865,5,9156,54,2284.7570114156465,online,15.777102753312322,online_retail,desktop,0,1,5,0
86,49.298396131930396,12,2311,47,7955.38189012164,online,8.78680372115803,entertainment,mobile,0,0,1,0
87,270.01635770139893,5,4501,18,3693.9520932214155,online,3.6928969351797356,travel,mobile,0,0,0,0
88,133.5533911494152,1,3170,23,3153.5747639431665,online,0.003568547458806526,entertainment,mobile,0,0,2,0
89,47.66930813516938,14,4794,66,8874.79353837442,in_store,33.31562650630339,fuel,desktop,0,0,0,0
90,166.65418546435538,17,8566,67,7908.920699030184,atm,4.0499080446731925,online_retail,mobile,0,0,2,0
91,101.13872195912116,22,16685,68,5238.775146562853,online,9.418486900113379,entertainment,desktop,0,0,1,0
92,287.8311399713397,10,16028,22,3629.6806015225943,atm,29.608332636344787,travel,desktop,0,0,3,0
93,38.76571753424066,10,12687,45,5189.870018366143,online,4.95556924904249,entertainment,desktop,0,0,3,0
94,60.75232931277253,17,13713,20,3864.9356008518707,atm,47.58920585753447,online_retail,mobile,0,0,1,0
95,56.231113024109916,23,7355,74,6033.367089562253,in_store,12.230792161550506,travel,atm,0,0,3,0
96,15.545668740553443,8,15077,73,13464.223516533024,online,6.526769675863153,fuel,mobile,0,0,2,0
97,128.42490446778075,5,9639,23,5497.960519944373,in_store,6.220483861725702,entertainment,mobile,0,0,5,0
98,123.13315448461607,21,16149,40,1002.1282794115625,in_store,17.235136055165828,grocery,mobile,0,0,0,0
99,90.57118788624149,6,18923,40,4308.7169615658795,in_store,5.148707540982818,online_retail,mobile,0,0,3,0
100,67.93120079201042,13,15133,40,2707.598241430687,online,10.344842667976017,grocery,atm,0,0,3,0
101,16.4702398930608,20,18246,41,9123.526860550373,in_store,3.462688103308694,online_retail,mobile,0,0,1,0
102,54.338098605120535,12,5117,66,2334.618560239457,online,10.49309103843931,entertainment,mobile,0,0,4,0
103,59.66482078726859,17,6054,63,6264.129124493995,in_store,17.162024285308974,entertainment,atm,0,0,3,0
104,34.37285922422763,20,4731,48,4465.1055017058825,in_store,60.225368307526864,entertainment,desktop,0,0,3,0
105,74.17722378677226,15,15072,31,6419.829200533186,online,35.85333172097396,travel,atm,0,1,4,0
106,146.1832582606335,8,10422,67,9936.593379594646,atm,35.485215396253984,fuel,desktop,0,0,1,0
107,865.6001500607917,9,18512,38,6124.685246447099,online,35.34674572300548,entertainment,mobile,0,0,1,0
108,110.99591239879716,23,12294,25,3142.1028926812564,online,10.7652905527945,entertainment,mobile,0,0,3,0
109,122.61636149343272,20,16629,46,7590.098263239399,in_store,13.487711342934826,online_retail,atm,0,0,0,0
110,82.32418274881245,11,7500,65,333.4239063358939,online,47.19791341739636,online_retail,mobile,0,0,2,0
111,9.0022499599375,8,4664,31,6838.3213372653445,online,4.944061149956248,fuel,mobile,0,0,4,0
